StartDate,EndDate,Status,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,DistributionChannel,UserLanguage,Q1,Q2,Q3,Q4,Q5,Q1.1,Q1.2,Q1.3,Q2.1,Q2.2,Q2.3,Q3.1,Q3.3
Data di inizio,Data di fine,Tipo risposta,Avanzamento,Durata (in secondi),Terminato,Data registrata,ID di risposta,Canale di distribuzione,Lingua dell'utente,Quanti anni hai?,Sesso,Sei cresciuto in Italia?,Qual è il tuo livello di istruzione più alto?,Qual è stato il tuo campo di studio più recente?,"Immagina una provincia italiana ""X"" con una popolazione di circa 350.000 abitanti. Un investitore è interessato al numero di farmacie presenti in X per quantificare se il mercato è saturo o altrimenti, e ha bisogno del tuo aiuto.



Considerando le informazioni presentate, quante farmacie pensi ci siano nella provincia X?","Immagina una provincia italiana ""X"" con una popolazione di circa 350.000 abitanti. Un investitore è interessato al numero di farmacie presenti in X per quantificare se il mercato è saturo o altrimenti, e ha bisogno del tuo aiuto.



Di seguito ci sono delle informazioni utili riguardo X, i suoi comuni, e la sua regione:

(Non è necessario scegliere una risposta)","Tenendo conto delle nuove informazioni, quante farmacie pensi ci siano nella provincia X?","Immagina una provincia italiana ""X"" con una popolazione di circa 350.000 abitanti. Un investitore è interessato al numero di farmacie presenti in X per quantificare se il mercato è saturo o altrimenti, e ha bisogno del tuo aiuto.



Considerando le informazioni presentate, quante farmacie pensi ci siano nella provincia X?","Immagina una provincia italiana ""X"" con una popolazione di circa 350.000 abitanti. Un investitore è interessato al numero di farmacie presenti in X per quantificare se il mercato è saturo o altrimenti, e ha bisogno del tuo aiuto.



Di seguito ci sono delle informazioni utili riguardo X, i suoi comuni, e la sua regione:

(Non è necessario scegliere una risposta)","Tenendo conto delle nuove informazioni, quante farmacie pensi ci siano nella provincia X?","Immagina una provincia italiana ""X"" con una popolazione di circa 350.000 abitanti. Un investitore è interessato al numero di farmacie presenti in X per quantificare se il mercato è saturo o altrimenti, e ha bisogno del tuo aiuto.



Considerando le informazioni presentate, quante farmacie pensi ci siano nella provincia X?","Tenendo conto delle nuove informazioni, quante farmacie pensi ci siano nella provincia X?"
"{""ImportId"":""startDate"",""timeZone"":""Europe/Berlin""}","{""ImportId"":""endDate"",""timeZone"":""Europe/Berlin""}","{""ImportId"":""status""}","{""ImportId"":""progress""}","{""ImportId"":""duration""}","{""ImportId"":""finished""}","{""ImportId"":""recordedDate"",""timeZone"":""Europe/Berlin""}","{""ImportId"":""_recordId""}","{""ImportId"":""distributionChannel""}","{""ImportId"":""userLanguage""}","{""ImportId"":""QID25""}","{""ImportId"":""QID27""}","{""ImportId"":""QID28""}","{""ImportId"":""QID29""}","{""ImportId"":""QID30""}","{""ImportId"":""QID1_TEXT""}","{""ImportId"":""QID23""}","{""ImportId"":""QID24_TEXT""}","{""ImportId"":""QID21_TEXT""}","{""ImportId"":""QID7""}","{""ImportId"":""QID3_TEXT""}","{""ImportId"":""QID22_TEXT""}","{""ImportId"":""QID17_TEXT""}"
07/11/2024 11:27,07/11/2024 11:27,Anteprima sondaggio,100,35,Vero,07/11/2024 11:27,R_2lK9wNspsYi10fX,preview,IT,45 - 54,Femmina,No,Liceo/Tecnico/Professionale,"Arti e Umanistiche (Storia dell'Arte, Letteratura, Filosofia, Arti Visive)
",102,,9996,,,,,
07/11/2024 11:29,07/11/2024 11:31,Indirizzo IP,100,105,Vero,07/11/2024 11:31,R_2m4gn2nDlrz2ETo,anonymous,IT,18 - 24,Maschio,Sì,Laurea Magistrale,"STEM (Scienza, Tecnologia, Ingegneria, e Matematica)",,,,80,,130,,
07/11/2024 11:29,07/11/2024 11:31,Indirizzo IP,100,128,Vero,07/11/2024 11:31,R_8fjETdWX4PvVyeJ,anonymous,EN,18 - 24,Maschio,Sì,Laurea Magistrale,"STEM (Scienza, Tecnologia, Ingegneria, e Matematica)",256,,286,,,,,
07/11/2024 11:29,07/11/2024 11:32,Indirizzo IP,100,162,Vero,07/11/2024 11:32,R_8qCAYyYOwbJM9XQ,anonymous,,18 - 24,Maschio,Sì,Laurea Triennale,"STEM (Scienza, Tecnologia, Ingegneria, e Matematica)",95,,80,,,,,
07/11/2024 11:32,07/11/2024 11:34,Indirizzo IP,100,139,Vero,07/11/2024 11:34,R_2fefeH2C1UTrevW,anonymous,IT,18 - 24,Maschio,Sì,Laurea Triennale,"STEM (Scienza, Tecnologia, Ingegneria, e Matematica)",,,,,,,6000,800
07/11/2024 12:01,07/11/2024 12:02,Indirizzo IP,100,45,Vero,07/11/2024 12:02,R_7QyoLVS1LxcDDwi,anonymous,EN,18 - 24,Maschio,No,Liceo/Tecnico/Professionale,"STEM (Scienza, Tecnologia, Ingegneria, e Matematica)",,,,18,La spesa sanitaria pubblica nella regione è di € 1.880 per residente,38,,
07/11/2024 12:07,07/11/2024 12:09,Indirizzo IP,100,106,Vero,07/11/2024 12:09,R_2g75Ie6IjyXV3WP,anonymous,EN,18 - 24,Maschio,No,Laurea Triennale,"Scienze Sociali (Sociologia, Scienze Politiche, Economia)",120,Il numero di ospedali (grandi e piccoli) nella regione a cui appartiene X è di 92,300,,,,,
07/11/2024 12:20,07/11/2024 12:22,Indirizzo IP,100,124,Vero,07/11/2024 12:22,R_279w7XmtxwFxDE7,anonymous,EN,18 - 24,Femmina,No,Laurea Triennale,"STEM (Scienza, Tecnologia, Ingegneria, e Matematica)",,,,500,,200,,
